audd;hoofdomraade
100;1
110;1
120;1
130;1
300;2
310;2
320;2
330;2
340;2
350;2
360;2
400;3
410;3
420;3
430;3
440;3
450;3
460;3
470;3
480;3
490;3
5039;4
5040;4
5041;5
5042;5
5043;5
35393210;4
35393220;4
6025;4
6030;4
6035;4
6040;4
6050;4
60351025;4
60353020;4
60396105;4
60396110;4
60396120;4
60396130;4
60396140;4
60396150;4
60396810;4
60396820;4
60803220;4
6025848;4
6500;5
6510;5
6520;5
6530;5
6540;5
65351025;5
65353020;5
65396110;5
65396120;5
65396130;5
65396140;5
65396150;5
65396810;5
65396820;5
65803220;5
7000;6
7010;6
7020;6
7030;6
70390005;6
70390010;6
70390015;6
70390050;6
