audd;faggruppe
100;10
110;10
120;10
130;10
300;1
310;2
320;4
330;8
340;5
350;7
360;9
400;4
410;4
420;8
430;10
440;5
450;10
460;8
470;4
480;6
490;10
5039;8
5040;4
5041;8
5042;5
5043;10
35393210;8
35393220;8
6025;1
6030;2
6035;3
6040;4
6050;5
60351025;3
60353020;3
60396105;8
60396110;8
60396120;8
60396130;8
60396140;8
60396150;8
60396810;2
60396820;2
60803220;6
6025848;8
6500;1
6510;2
6520;3
6530;4
6540;5
65351025;3
65353020;3
65396110;8
65396120;8
65396130;8
65396140;8
65396150;8
65396810;2
65396820;2
65803220;6
7000;1
7010;2
7020;3
7030;4
70390005;2
70390010;2
70390015;8
70390050;8
