audd;pria
100;84
110;90
120;96
130;108
300;144
310;144
320;144
330;144
340;144
350;144
360;144
400;120
410;120
420;132
430;132
440;132
450;144
460;144
470;144
480;144
490;144
5039;156
5040;156
5041;168
5042;168
5043;168
35393210;144
35393220;144
6025;180
6030;180
6035;180
6040;180
6050;180
60351025;180
60353020;180
60396105;180
60396110;180
60396120;180
60396130;180
60396140;180
60396150;180
60396810;180
60396820;180
60803220;180
6025848;180
6500;204
6510;204
6520;204
6530;204
6540;204
65351025;204
65353020;204
65396110;204
65396120;204
65396130;204
65396140;204
65396150;204
65396810;204
65396820;204
65803220;204
7000;240
7010;240
7020;240
7030;240
70390005;240
70390010;240
70390015;240
70390050;240
